breakout_id,cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2384.0,False,,,,False,,long,5m,2026-03-29 04:32:04
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2384.0,False,,,,False,,short,5m,2026-03-29 04:32:04
,False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.082,False,,,,False,,long,5m,2026-03-29 04:33:03
,False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.082,False,,,,False,,short,5m,2026-03-29 04:33:03
,False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.44,False,,,,False,,long,5m,2026-03-29 04:33:09
,False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.44,False,,,,False,,short,5m,2026-03-29 04:33:09
,,,,reentry_check,True,scan,AUCTION-USDT-SWAP,,,4.44,False,0.0,,,,,scan,5m,2026-03-29 04:33:09
,False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,482.6,False,,,,False,,long,5m,2026-03-29 04:33:15
,False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,482.6,False,,,,False,,short,5m,2026-03-29 04:33:15
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,long,5m,2026-03-29 04:33:34
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,short,5m,2026-03-29 04:33:34
,False,,,reentry_check,True,ok,ENA-USDT-SWAP,,,0.0911,False,,,,False,,long,5m,2026-03-29 04:33:41
,False,,,reentry_check,True,ok,ENA-USDT-SWAP,,,0.0911,False,,,,False,,short,5m,2026-03-29 04:33:41
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.05,False,,,,False,,long,5m,2026-03-29 04:33:44
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.05,False,,,,False,,short,5m,2026-03-29 04:33:44
,False,,,reentry_check,True,ok,ETHFI-USDT-SWAP,,,0.459,False,,,,False,,long,5m,2026-03-29 04:33:47
,False,,,reentry_check,True,ok,ETHFI-USDT-SWAP,,,0.459,False,,,,False,,short,5m,2026-03-29 04:33:47
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,long,5m,2026-03-29 04:34:02
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,short,5m,2026-03-29 04:34:02
,False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3061,False,,,,False,,long,5m,2026-03-29 04:34:08
,False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3061,False,,,,False,,short,5m,2026-03-29 04:34:08
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.461,False,,,,False,,long,5m,2026-03-29 04:34:11
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.461,False,,,,False,,short,5m,2026-03-29 04:34:11
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.854,False,,,,False,,long,5m,2026-03-29 04:34:13
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.854,False,,,,False,,short,5m,2026-03-29 04:34:13
,False,,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.059,False,,,,False,,long,5m,2026-03-29 04:34:14
,False,,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.059,False,,,,False,,short,5m,2026-03-29 04:34:14
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,54.05,False,,,,False,,long,5m,2026-03-29 04:34:19
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,54.05,False,,,,False,,short,5m,2026-03-29 04:34:19
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1403,False,,,,False,,long,5m,2026-03-29 04:34:23
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1403,False,,,,False,,short,5m,2026-03-29 04:34:23
,False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05326,False,,,,False,,long,5m,2026-03-29 04:34:24
,False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05326,False,,,,False,,short,5m,2026-03-29 04:34:24
,False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1719,False,,,,False,,long,5m,2026-03-29 04:34:27
,False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1719,False,,,,False,,short,5m,2026-03-29 04:34:27
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,long,5m,2026-03-29 04:34:53
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,short,5m,2026-03-29 04:34:53
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2379.0,False,,,,False,,long,5m,2026-03-29 04:35:07
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2379.0,False,,,,False,,short,5m,2026-03-29 04:35:07
,False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.035,False,,,,False,,long,5m,2026-03-29 04:35:08
,False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.035,False,,,,False,,short,5m,2026-03-29 04:35:08
,False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6583,False,,,,False,,long,5m,2026-03-29 04:36:10
,False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6583,False,,,,False,,short,5m,2026-03-29 04:36:10
,False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.44,False,,,,False,,long,5m,2026-03-29 04:36:12
,False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.44,False,,,,False,,short,5m,2026-03-29 04:36:12
,False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,66460.0,False,,,,False,,long,5m,2026-03-29 04:36:26
