2026-03-29 15:52:11,479 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop ATOM-USDT-SWAP short payload={'instId': 'ATOM-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788731479', 'slTriggerPx': '1.65', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:52:14,518 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop THETA-USDT-SWAP algo=3432140021283774464 payload=[{'instId': 'THETA-USDT-SWAP', 'algoId': '3432140021283774464', 'newSlTriggerPx': '0.1506', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:52:16,827 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop THETA-USDT-SWAP short payload={'instId': 'THETA-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788736827', 'slTriggerPx': '0.1506', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:54:08,838 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SAND-USDT-SWAP algo=3432159250154348544 payload=[{'instId': 'SAND-USDT-SWAP', 'algoId': '3432159250154348544', 'newSlTriggerPx': '0.0729', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:54:14,428 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SAND-USDT-SWAP short payload={'instId': 'SAND-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788854428', 'slTriggerPx': '0.0729', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:56:43,867 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SUSHI-USDT-SWAP algo=3432148539747426304 payload=[{'instId': 'SUSHI-USDT-SWAP', 'algoId': '3432148539747426304', 'newSlTriggerPx': '0.1881', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:56:49,233 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SUSHI-USDT-SWAP short payload={'instId': 'SUSHI-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP789009233', 'slTriggerPx': '0.1881', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:58:37,526 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SAND-USDT-SWAP algo=3432163851943370752 payload=[{'instId': 'SAND-USDT-SWAP', 'algoId': '3432163851943370752', 'newSlTriggerPx': '0.073', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:58:42,840 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SAND-USDT-SWAP short payload={'instId': 'SAND-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP789122840', 'slTriggerPx': '0.0731', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 16:01:11,539 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop ATOM-USDT-SWAP algo=3432159724714680320 payload=[{'instId': 'ATOM-USDT-SWAP', 'algoId': '3432159724714680320', 'newSlTriggerPx': '1.649', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 16:01:13,856 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop ATOM-USDT-SWAP short payload={'instId': 'ATOM-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP789273856', 'slTriggerPx': '1.649', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
